parcel_id,arrival_time,scanner_time,outfeed_enter,outfeed_exit,recirculations,num_outfeeds
86,0 days 00:04:52.506000,0 days 00:05:00.381000,0 days 00:05:04.131000,0 days 00:05:21.396022,0,3
87,0 days 00:04:57.992000,0 days 00:05:05.867000,0 days 00:05:15.867000,0 days 00:05:35.756988,0,3
88,0 days 00:05:02.769000,0 days 00:05:10.644000,0 days 00:05:20.644000,0 days 00:05:42.460747,0,3
89,0 days 00:05:11.654000,0 days 00:05:19.529000,0 days 00:05:29.529000,0 days 00:05:49.209942,0,3
90,0 days 00:05:12.649000,0 days 00:05:20.524000,0 days 00:05:24.274000,0 days 00:05:32.190752,0,3
91,0 days 00:05:16.360000,0 days 00:05:24.235000,0 days 00:05:31.110000,0 days 00:05:36.762345,0,3
92,0 days 00:05:20.374000,0 days 00:05:28.249000,0 days 00:05:35.124000,0 days 00:05:43.748258,0,3
93,0 days 00:05:22.591000,0 days 00:05:30.466000,0 days 00:05:34.216000,0 days 00:05:41.452675,0,3
94,0 days 00:05:24.089000,0 days 00:05:31.964000,0 days 00:05:35.714000,0 days 00:05:48.371086,0,3
95,0 days 00:05:25.933000,0 days 00:05:33.808000,0 days 00:05:43.808000,0 days 00:05:56.019909,0,3
96,0 days 00:05:27.543000,0 days 00:05:35.418000,0 days 00:05:42.293000,0 days 00:05:49.878249,0,3
97,0 days 00:05:30.835000,0 days 00:05:38.710000,0 days 00:05:45.585000,0 days 00:05:58.466491,0,3
98,0 days 00:05:32.919000,0 days 00:05:40.794000,0 days 00:05:50.794000,0 days 00:06:03.100484,0,3
99,0 days 00:05:38.805000,0 days 00:05:46.680000,0 days 00:05:50.430000,0 days 00:05:56.700212,0,3
100,0 days 00:05:42.961000,0 days 00:05:50.836000,0 days 00:06:00.836000,0 days 00:06:11.212854,0,3
101,0 days 00:05:50.278000,0 days 00:05:58.153000,0 days 00:06:01.903000,0 days 00:06:08.855132,0,3
102,0 days 00:05:51.652000,0 days 00:05:59.527000,0 days 00:06:03.277000,0 days 00:06:17.849704,0,3
104,0 days 00:05:55.730000,0 days 00:06:03.605000,0 days 00:06:07.355000,0 days 00:06:26.308616,0,3
105,0 days 00:05:58.504000,0 days 00:06:06.379000,0 days 00:06:16.379000,0 days 00:06:23.142477,0,3
106,0 days 00:05:59.379000,0 days 00:06:07.254000,0 days 00:06:11.004000,0 days 00:06:33.198445,0,3
107,0 days 00:06:01.306000,0 days 00:06:09.181000,0 days 00:06:16.056000,0 days 00:06:21.043914,0,3
108,0 days 00:06:09.872000,0 days 00:06:17.747000,0 days 00:06:24.622000,0 days 00:06:32.405444,0,3
109,0 days 00:06:10.773000,0 days 00:06:18.648000,0 days 00:06:28.648000,0 days 00:06:34.641212,0,3
110,0 days 00:06:12.290000,0 days 00:06:20.165000,0 days 00:06:30.165000,0 days 00:06:42.527761,0,3
111,0 days 00:06:13.152000,0 days 00:06:21.027000,0 days 00:06:31.027000,0 days 00:06:47.927139,0,3
112,0 days 00:06:15.420000,0 days 00:06:23.295000,0 days 00:06:33.295000,0 days 00:06:53.021238,0,3
113,0 days 00:06:18.168000,0 days 00:06:26.043000,0 days 00:06:29.793000,0 days 00:06:39.105149,0,3
114,0 days 00:06:22.259000,0 days 00:06:30.134000,0 days 00:06:40.134000,0 days 00:06:59.985847,0,3
115,0 days 00:06:25.552000,0 days 00:06:33.427000,0 days 00:06:37.177000,0 days 00:06:46.455826,0,3
116,0 days 00:06:27.826000,0 days 00:06:35.701000,0 days 00:06:45.701000,0 days 00:07:08.052890,0,3
117,0 days 00:06:34.027000,0 days 00:06:41.902000,0 days 00:06:45.652000,0 days 00:06:51.689603,0,3
118,0 days 00:06:37.851000,0 days 00:06:45.726000,0 days 00:06:55.726000,0 days 00:07:14.612837,0,3
119,0 days 00:06:47.940000,0 days 00:06:55.815000,0 days 00:07:05.815000,0 days 00:07:19.639371,0,3
120,0 days 00:06:49.811000,0 days 00:06:57.686000,0 days 00:07:01.436000,0 days 00:07:08.659150,0,3
121,0 days 00:06:52.392000,0 days 00:07:00.267000,0 days 00:07:10.267000,0 days 00:07:27.442388,0,3
122,0 days 00:06:54.646000,0 days 00:07:02.521000,0 days 00:07:12.521000,0 days 00:07:35.669429,0,3
123,0 days 00:06:56.510000,0 days 00:07:04.385000,0 days 00:07:08.135000,0 days 00:07:16.008938,0,3
124,0 days 00:06:59.728000,0 days 00:07:07.603000,0 days 00:07:17.603000,0 days 00:07:41.656730,0,3
125,0 days 00:07:01.974000,0 days 00:07:09.849000,0 days 00:07:19.849000,0 days 00:07:47.530695,0,3
126,0 days 00:07:06.860000,0 days 00:07:14.735000,0 days 00:07:18.485000,0 days 00:07:26.669343,0,3
127,0 days 00:07:10.469000,0 days 00:07:18.344000,0 days 00:07:22.094000,0 days 00:07:35.236641,0,3
128,0 days 00:07:13.763000,"event_name
EnterScanner   0 days 00:07:21.638000
EnterScanner   0 days 00:07:58.263000
Name: time, dtype: timedelta64[ns]",0 days 00:08:08.263000,0 days 00:08:17.009939,1,3
129,0 days 00:07:17.584000,"event_name
EnterScanner   0 days 00:07:25.459000
EnterScanner   0 days 00:08:02.084000
Name: time, dtype: timedelta64[ns]",0 days 00:08:12.084000,0 days 00:08:29.470076,1,3
130,0 days 00:07:21.241000,0 days 00:07:29.116000,0 days 00:07:39.116000,0 days 00:07:54.215516,0,3
131,0 days 00:07:25.094000,0 days 00:07:32.969000,0 days 00:07:36.719000,0 days 00:07:43.087940,0,3
132,0 days 00:07:26.687000,0 days 00:07:34.562000,0 days 00:07:38.312000,0 days 00:07:50.490919,0,3
133,0 days 00:00:00,0 days 00:00:07.875000,0 days 00:00:17.875000,0 days 00:00:39.446773,0,3
134,0 days 00:07:39.244000,0 days 00:07:47.119000,0 days 00:07:50.869000,0 days 00:07:56.089312,0,3
135,0 days 00:07:40.723000,0 days 00:07:48.598000,0 days 00:07:58.598000,0 days 00:08:05.879830,0,3
136,0 days 00:07:45.231000,0 days 00:07:53.106000,0 days 00:07:59.981000,0 days 00:08:07.921036,0,3
137,0 days 00:07:48.959000,0 days 00:07:56.834000,0 days 00:08:00.584000,0 days 00:08:06.798483,0,3
138,0 days 00:07:51.513000,0 days 00:07:59.388000,0 days 00:08:09.388000,0 days 00:08:23.290354,0,3
139,0 days 00:07:53.775000,0 days 00:08:01.650000,0 days 00:08:05.400000,0 days 00:08:12.324138,0,3
140,0 days 00:07:55.660000,0 days 00:08:03.535000,0 days 00:08:07.285000,0 days 00:08:18.917930,0,3
141,0 days 00:08:04.470000,0 days 00:08:12.345000,0 days 00:08:16.095000,0 days 00:08:23.717265,0,3
142,0 days 00:08:06.258000,0 days 00:08:14.133000,0 days 00:08:17.883000,0 days 00:08:30.794827,0,3
143,0 days 00:08:09.486000,0 days 00:08:17.361000,0 days 00:08:27.361000,0 days 00:08:34.854166,0,3
144,0 days 00:08:14.516000,0 days 00:08:22.391000,0 days 00:08:32.391000,0 days 00:08:41.600179,0,3
145,0 days 00:08:17.998000,0 days 00:08:25.873000,0 days 00:08:35.873000,0 days 00:08:46.385426,0,3
146,0 days 00:08:19.250000,0 days 00:08:27.125000,0 days 00:08:30.875000,0 days 00:08:37.832559,0,3
147,0 days 00:08:21.456000,0 days 00:08:29.331000,0 days 00:08:33.081000,0 days 00:08:45.936738,0,3
148,0 days 00:08:25.358000,0 days 00:08:33.233000,0 days 00:08:43.233000,0 days 00:08:55.592193,0,3
149,0 days 00:00:00,0 days 00:00:07.875000,0 days 00:00:17.875000,0 days 00:00:32.475994,0,3
150,0 days 00:08:29.647000,0 days 00:08:37.522000,0 days 00:08:41.272000,0 days 00:08:52.003545,0,3
151,0 days 00:08:34.963000,0 days 00:08:42.838000,0 days 00:08:46.588000,0 days 00:08:57.826193,0,3
152,0 days 00:08:36.642000,0 days 00:08:44.517000,0 days 00:08:48.267000,0 days 00:09:03.076057,0,3
153,0 days 00:08:39.143000,0 days 00:08:47.018000,0 days 00:08:57.018000,0 days 00:09:03.459840,0,3
154,0 days 00:08:40.890000,0 days 00:08:48.765000,0 days 00:08:58.765000,0 days 00:09:09.975322,0,3
155,0 days 00:08:47.649000,0 days 00:08:55.524000,0 days 00:08:59.274000,0 days 00:09:11.706888,0,3
156,0 days 00:08:51.873000,0 days 00:08:59.748000,0 days 00:09:06.623000,0 days 00:09:13.411059,0,3
157,0 days 00:08:59.570000,0 days 00:09:07.445000,0 days 00:09:11.195000,0 days 00:09:17.811143,0,3
158,0 days 00:09:01.102000,0 days 00:09:08.977000,0 days 00:09:12.727000,0 days 00:09:24.657931,0,3
159,0 days 00:09:05.926000,0 days 00:09:13.801000,0 days 00:09:17.551000,0 days 00:09:32.244000,0,3
160,0 days 00:09:17.599000,0 days 00:09:25.474000,0 days 00:09:29.224000,0 days 00:09:39.609210,0,3
161,0 days 00:09:20.597000,0 days 00:09:28.472000,0 days 00:09:38.472000,0 days 00:09:45.767020,0,3
162,0 days 00:09:25.560000,0 days 00:09:33.435000,0 days 00:09:40.310000,0 days 00:09:47.818152,0,3
163,0 days 00:09:29.756000,0 days 00:09:37.631000,0 days 00:09:41.381000,0 days 00:09:48.456780,0,3
164,0 days 00:09:34.527000,0 days 00:09:42.402000,0 days 00:09:52.402000,0 days 00:10:01.467086,0,3
165,0 days 00:09:42.773000,0 days 00:09:50.648000,0 days 00:09:54.398000,0 days 00:10:02.093704,0,3
166,0 days 00:09:44.503000,0 days 00:09:52.378000,0 days 00:09:56.128000,0 days 00:10:07.500641,0,3
167,0 days 00:09:53.885000,0 days 00:10:01.760000,0 days 00:10:05.510000,0 days 00:10:12.643460,0,3
168,0 days 00:09:55.139000,0 days 00:10:03.014000,0 days 00:10:13.014000,0 days 00:10:21.170708,0,3
169,0 days 00:09:56.083000,0 days 00:10:03.958000,0 days 00:10:07.708000,0 days 00:10:19.403181,0,3
170,0 days 00:09:57.299000,0 days 00:10:05.174000,0 days 00:10:12.049000,0 days 00:10:20.221477,0,3
171,0 days 00:09:58.754000,0 days 00:10:06.629000,0 days 00:10:10.379000,0 days 00:10:26.823240,0,3
172,0 days 00:10:02.384000,0 days 00:10:10.259000,0 days 00:10:14.009000,0 days 00:10:33.934155,0,3
173,0 days 00:10:05.097000,0 days 00:10:12.972000,0 days 00:10:22.972000,0 days 00:10:29.179411,0,3
174,0 days 00:10:06.318000,0 days 00:10:14.193000,0 days 00:10:21.068000,0 days 00:10:25.869071,0,3
175,0 days 00:10:07.556000,0 days 00:10:15.431000,0 days 00:10:19.181000,0 days 00:10:39.711405,0,3
176,0 days 00:10:15.405000,0 days 00:10:23.280000,0 days 00:10:30.155000,0 days 00:10:38.584034,0,3
177,0 days 00:10:16.651000,0 days 00:10:24.526000,0 days 00:10:34.526000,0 days 00:10:41.250630,0,3
178,0 days 00:10:20.788000,0 days 00:10:28.663000,0 days 00:10:38.663000,0 days 00:10:48.905898,0,3
179,0 days 00:10:25.342000,0 days 00:10:33.217000,0 days 00:10:40.092000,0 days 00:10:48.583408,0,3
180,0 days 00:10:28.213000,0 days 00:10:36.088000,0 days 00:10:39.838000,0 days 00:10:44.900647,0,3
181,0 days 00:10:38.672000,0 days 00:10:46.547000,0 days 00:10:56.547000,0 days 00:11:03.227064,0,3
182,0 days 00:10:39.726000,0 days 00:10:47.601000,0 days 00:10:54.476000,0 days 00:11:00.374850,0,3
183,0 days 00:10:41.612000,0 days 00:10:49.487000,0 days 00:10:53.237000,0 days 00:11:00.284856,0,3
184,0 days 00:10:43.605000,0 days 00:10:51.480000,0 days 00:10:58.355000,0 days 00:11:05.834557,0,3
185,0 days 00:10:45.599000,0 days 00:10:53.474000,0 days 00:10:57.224000,0 days 00:11:05.307524,0,3
186,0 days 00:10:46.260000,0 days 00:10:54.135000,0 days 00:11:04.135000,0 days 00:11:11.343632,0,3
187,0 days 00:10:50.097000,0 days 00:10:57.972000,0 days 00:11:07.972000,0 days 00:11:17.805944,0,3
188,0 days 00:10:52.019000,0 days 00:10:59.894000,0 days 00:11:03.644000,0 days 00:11:12.963098,0,3
189,0 days 00:10:55.988000,0 days 00:11:03.863000,0 days 00:11:10.738000,0 days 00:11:16.042348,0,3
190,0 days 00:11:02.402000,0 days 00:11:10.277000,0 days 00:11:20.277000,0 days 00:11:27.324649,0,3
191,0 days 00:11:07.667000,0 days 00:11:15.542000,0 days 00:11:19.292000,0 days 00:11:26.228461,0,3
192,0 days 00:11:08.512000,0 days 00:11:16.387000,0 days 00:11:23.262000,0 days 00:11:31.261142,0,3
193,0 days 00:11:11.404000,0 days 00:11:19.279000,0 days 00:11:29.279000,0 days 00:11:35.292104,0,3
194,0 days 00:11:12.644000,0 days 00:11:20.519000,0 days 00:11:24.269000,0 days 00:11:34.177665,0,3
195,0 days 00:11:14.497000,0 days 00:11:22.372000,0 days 00:11:32.372000,0 days 00:11:42.285433,0,3
196,0 days 00:11:15.913000,0 days 00:11:23.788000,0 days 00:11:27.538000,0 days 00:11:41.921716,0,3
197,0 days 00:11:18.267000,0 days 00:11:26.142000,0 days 00:11:33.017000,0 days 00:11:39.451364,0,3
198,0 days 00:11:19.014000,0 days 00:11:26.889000,0 days 00:11:30.639000,0 days 00:11:48.983711,0,3
199,0 days 00:11:21.524000,0 days 00:11:29.399000,0 days 00:11:33.149000,0 days 00:11:57.600596,0,3
200,0 days 00:11:22.871000,0 days 00:11:30.746000,0 days 00:11:37.621000,0 days 00:11:46.873087,0,3
201,0 days 00:11:25.856000,0 days 00:11:33.731000,0 days 00:11:43.731000,0 days 00:11:49.123103,0,3
202,0 days 00:11:26.439000,0 days 00:11:34.314000,0 days 00:11:44.314000,0 days 00:11:54.890821,0,3
203,0 days 00:11:29.754000,0 days 00:11:37.629000,0 days 00:11:41.379000,0 days 00:12:02.980716,0,3
204,0 days 00:11:30.345000,0 days 00:11:38.220000,0 days 00:11:41.970000,0 days 00:12:08.106918,0,3
205,0 days 00:11:32.312000,0 days 00:11:40.187000,0 days 00:11:43.937000,0 days 00:12:14.452532,0,3
206,0 days 00:11:33.852000,0 days 00:11:41.727000,0 days 00:11:45.477000,0 days 00:12:23.288870,0,3
208,0 days 00:11:38.723000,0 days 00:11:46.598000,0 days 00:11:53.473000,0 days 00:12:00.033946,0,3
209,0 days 00:11:40.721000,"event_name
EnterScanner   0 days 00:11:48.596000
EnterScanner   0 days 00:12:25.221000
Name: time, dtype: timedelta64[ns]",0 days 00:12:28.971000,0 days 00:12:41.526212,1,3
210,0 days 00:11:46.541000,0 days 00:11:54.416000,0 days 00:12:04.416000,0 days 00:12:10.551311,0,3
211,0 days 00:11:50.919000,0 days 00:11:58.794000,0 days 00:12:05.669000,0 days 00:12:15.058609,0,3
212,0 days 00:11:53.395000,0 days 00:12:01.270000,0 days 00:12:05.020000,0 days 00:12:28.139616,0,3
213,0 days 00:11:58.771000,"event_name
EnterScanner   0 days 00:12:06.646000
EnterScanner   0 days 00:12:43.271000
Name: time, dtype: timedelta64[ns]",0 days 00:12:47.021000,0 days 00:13:00.035457,1,3
214,0 days 00:12:01.170000,0 days 00:12:09.045000,0 days 00:12:12.795000,0 days 00:12:36.099501,0,3
215,0 days 00:12:02.797000,0 days 00:12:10.672000,0 days 00:12:20.672000,0 days 00:12:26.103461,0,3
216,0 days 00:12:07.377000,0 days 00:12:15.252000,0 days 00:12:25.252000,0 days 00:12:33.770356,0,3
217,0 days 00:12:09.410000,0 days 00:12:17.285000,0 days 00:12:27.285000,0 days 00:12:40.445819,0,3
218,0 days 00:12:12.164000,0 days 00:12:20.039000,0 days 00:12:30.039000,0 days 00:12:46.773751,0,3
219,0 days 00:12:22.015000,0 days 00:12:29.890000,0 days 00:12:36.765000,0 days 00:12:43.793142,0,3
220,0 days 00:12:27.651000,0 days 00:12:35.526000,0 days 00:12:39.276000,0 days 00:12:48.184920,0,3
221,0 days 00:12:28.772000,0 days 00:12:36.647000,0 days 00:12:40.397000,0 days 00:12:54.301625,0,3
222,0 days 00:12:32.482000,0 days 00:12:40.357000,0 days 00:12:50.357000,0 days 00:12:56.168649,0,3
223,0 days 00:12:33.529000,0 days 00:12:41.404000,0 days 00:12:51.404000,0 days 00:13:02.542196,0,3
224,0 days 00:12:35.153000,0 days 00:12:43.028000,0 days 00:12:53.028000,0 days 00:13:07.724954,0,3
225,0 days 00:12:37.854000,0 days 00:12:45.729000,0 days 00:12:55.729000,0 days 00:13:14.012182,0,3
226,0 days 00:12:38.827000,0 days 00:12:46.702000,0 days 00:12:56.702000,0 days 00:13:21.374148,0,3
227,0 days 00:12:41.722000,0 days 00:12:49.597000,0 days 00:12:56.472000,0 days 00:13:04.783137,0,3
228,0 days 00:12:44.985000,0 days 00:12:52.860000,0 days 00:12:59.735000,0 days 00:13:10.126656,0,3
229,0 days 00:12:51.769000,0 days 00:12:59.644000,0 days 00:13:09.644000,0 days 00:13:27.574456,0,3
230,0 days 00:12:56.511000,0 days 00:13:04.386000,0 days 00:13:14.386000,0 days 00:13:32.368551,0,3
231,0 days 00:12:57.899000,0 days 00:13:05.774000,0 days 00:13:15.774000,0 days 00:13:41.274452,0,3
232,0 days 00:12:59.991000,0 days 00:13:07.866000,0 days 00:13:11.616000,0 days 00:13:20.077052,0,3
233,0 days 00:13:05.131000,0 days 00:13:13.006000,0 days 00:13:16.756000,0 days 00:13:25.825065,0,3
234,0 days 00:13:08.467000,0 days 00:13:16.342000,0 days 00:13:26.342000,0 days 00:13:49.642120,0,3
235,0 days 00:13:15.054000,0 days 00:13:22.929000,0 days 00:13:26.679000,0 days 00:13:34.166425,0,3
236,0 days 00:13:16.122000,0 days 00:13:23.997000,0 days 00:13:33.997000,0 days 00:13:54.633009,0,3
237,0 days 00:13:24.656000,0 days 00:13:32.531000,0 days 00:13:36.281000,0 days 00:13:42.862506,0,3
238,0 days 00:13:36.595000,0 days 00:13:44.470000,0 days 00:13:48.220000,0 days 00:13:55.846402,0,3
239,0 days 00:13:38.746000,0 days 00:13:46.621000,0 days 00:13:56.621000,0 days 00:14:02.144520,0,3
240,0 days 00:13:51.926000,0 days 00:13:59.801000,0 days 00:14:06.676000,0 days 00:14:13.755380,0,3
241,0 days 00:13:55.901000,0 days 00:14:03.776000,0 days 00:14:13.776000,0 days 00:14:21.655091,0,3
242,0 days 00:14:03.697000,0 days 00:14:11.572000,0 days 00:14:21.572000,0 days 00:14:28.319445,0,3
243,0 days 00:14:07.387000,0 days 00:14:15.262000,0 days 00:14:25.262000,0 days 00:14:33.226558,0,3
244,0 days 00:14:08.555000,0 days 00:14:16.430000,0 days 00:14:26.430000,0 days 00:14:41.818422,0,3
245,0 days 00:14:10.161000,0 days 00:14:18.036000,0 days 00:14:28.036000,0 days 00:14:48.223460,0,3
246,0 days 00:14:11.424000,0 days 00:14:19.299000,0 days 00:14:23.049000,0 days 00:14:29.034888,0,3
247,0 days 00:14:14.721000,0 days 00:14:22.596000,0 days 00:14:32.596000,0 days 00:14:55.268687,0,3
248,0 days 00:14:17.819000,0 days 00:14:25.694000,0 days 00:14:29.444000,0 days 00:14:34.768080,0,3
249,0 days 00:14:18.269000,0 days 00:14:26.144000,0 days 00:14:29.894000,0 days 00:14:40.929097,0,3
250,0 days 00:14:24.061000,0 days 00:14:31.936000,0 days 00:14:38.811000,0 days 00:14:45.069740,0,3
251,0 days 00:14:24.952000,0 days 00:14:32.827000,0 days 00:14:42.827000,0 days 00:15:00.083749,0,3
252,0 days 00:14:27.992000,0 days 00:14:35.867000,0 days 00:14:42.742000,0 days 00:14:50.551494,0,3
253,0 days 00:14:34.820000,0 days 00:14:42.695000,0 days 00:14:52.695000,0 days 00:15:06.530858,0,3
254,0 days 00:14:35.693000,0 days 00:14:43.568000,0 days 00:14:47.318000,0 days 00:14:54.324906,0,3
255,0 days 00:14:38.725000,0 days 00:14:46.600000,0 days 00:14:56.600000,0 days 00:15:13.407418,0,3
256,0 days 00:14:42.252000,0 days 00:14:50.127000,0 days 00:15:00.127000,0 days 00:15:19.607049,0,3
257,0 days 00:14:43.858000,0 days 00:14:51.733000,0 days 00:14:55.483000,0 days 00:15:02.376690,0,3
258,0 days 00:14:45.338000,0 days 00:14:53.213000,0 days 00:14:56.963000,0 days 00:15:11.388297,0,3
