parcel_id,arrival_time,scanner_time,outfeed_enter,outfeed_exit,recirculations,num_outfeeds
259,0 days 00:14:49.596000,0 days 00:14:57.471000,0 days 00:15:04.346000,0 days 00:15:12.728200,0,3
260,0 days 00:14:54.296000,0 days 00:15:02.171000,0 days 00:15:12.171000,0 days 00:15:25.709151,0,3
261,0 days 00:14:55.753000,0 days 00:15:03.628000,0 days 00:15:07.378000,0 days 00:15:19.016230,0,3
262,0 days 00:14:57.490000,0 days 00:15:05.365000,0 days 00:15:09.115000,0 days 00:15:24.947971,0,3
263,0 days 00:15:01.272000,0 days 00:15:09.147000,0 days 00:15:19.147000,0 days 00:15:31.124823,0,3
264,0 days 00:15:03.965000,0 days 00:15:11.840000,0 days 00:15:21.840000,0 days 00:15:37.216433,0,3
265,0 days 00:15:07.905000,0 days 00:15:15.780000,0 days 00:15:25.780000,0 days 00:15:44.102759,0,3
266,0 days 00:15:15.241000,0 days 00:15:23.116000,0 days 00:15:26.866000,0 days 00:15:33.595976,0,3
267,0 days 00:15:18.469000,0 days 00:15:26.344000,0 days 00:15:30.094000,0 days 00:15:40.252819,0,3
268,0 days 00:15:23.823000,0 days 00:15:31.698000,0 days 00:15:35.448000,0 days 00:15:45.858725,0,3
269,0 days 00:15:29.526000,0 days 00:15:37.401000,0 days 00:15:47.401000,0 days 00:15:53.719490,0,3
270,0 days 00:15:31.604000,0 days 00:15:39.479000,0 days 00:15:43.229000,0 days 00:15:52.880128,0,3
271,0 days 00:15:35.323000,0 days 00:15:43.198000,0 days 00:15:53.198000,0 days 00:15:59.868289,0,3
272,0 days 00:15:47.144000,0 days 00:15:55.019000,0 days 00:16:05.019000,0 days 00:16:12.387121,0,3
273,0 days 00:15:53.690000,0 days 00:16:01.565000,0 days 00:16:11.565000,0 days 00:16:19.137358,0,3
274,0 days 00:15:55.284000,0 days 00:16:03.159000,0 days 00:16:06.909000,0 days 00:16:12.127984,0,3
275,0 days 00:15:58.641000,0 days 00:16:06.516000,0 days 00:16:16.516000,0 days 00:16:25.107846,0,3
276,0 days 00:16:02.771000,0 days 00:16:10.646000,0 days 00:16:20.646000,0 days 00:16:31.422692,0,3
277,0 days 00:16:04.368000,0 days 00:16:12.243000,0 days 00:16:15.993000,0 days 00:16:22.832610,0,3
278,0 days 00:16:05.634000,0 days 00:16:13.509000,0 days 00:16:17.259000,0 days 00:16:29.638148,0,3
279,0 days 00:16:12.663000,0 days 00:16:20.538000,0 days 00:16:30.538000,0 days 00:16:38.823426,0,3
280,0 days 00:16:14.800000,0 days 00:16:22.675000,0 days 00:16:29.550000,0 days 00:16:37.997889,0,3
281,0 days 00:16:17.228000,0 days 00:16:25.103000,0 days 00:16:35.103000,0 days 00:16:46.928413,0,3
282,0 days 00:16:18.160000,0 days 00:16:26.035000,0 days 00:16:36.035000,0 days 00:16:54.177418,0,3
283,0 days 00:16:19.281000,0 days 00:16:27.156000,0 days 00:16:30.906000,0 days 00:16:38.240683,0,3
284,0 days 00:16:24.505000,0 days 00:16:32.380000,0 days 00:16:39.255000,0 days 00:16:47.558397,0,3
285,0 days 00:16:27.339000,0 days 00:16:35.214000,0 days 00:16:38.964000,0 days 00:16:44.402650,0,3
286,0 days 00:16:29.581000,0 days 00:16:37.456000,0 days 00:16:41.206000,0 days 00:16:53.161144,0,3
287,0 days 00:16:31.653000,0 days 00:16:39.528000,0 days 00:16:43.278000,0 days 00:17:00.206825,0,3
288,0 days 00:16:32.456000,0 days 00:16:40.331000,0 days 00:16:47.206000,0 days 00:16:53.042011,0,3
289,0 days 00:16:35.062000,0 days 00:16:42.937000,0 days 00:16:46.687000,0 days 00:17:07.338389,0,3
290,0 days 00:16:36.666000,0 days 00:16:44.541000,0 days 00:16:54.541000,0 days 00:17:02.190138,0,3
291,0 days 00:16:38.087000,0 days 00:16:45.962000,0 days 00:16:49.712000,0 days 00:17:14.775978,0,3
293,0 days 00:16:48.594000,0 days 00:16:56.469000,0 days 00:17:00.219000,0 days 00:17:23.946976,0,3
294,0 days 00:16:50.950000,0 days 00:16:58.825000,0 days 00:17:08.825000,0 days 00:17:15.630773,0,3
295,0 days 00:16:52.405000,0 days 00:17:00.280000,0 days 00:17:04.030000,0 days 00:17:30.493854,0,3
296,0 days 00:17:01.732000,0 days 00:17:09.607000,0 days 00:17:19.607000,0 days 00:17:25.451261,0,3
297,0 days 00:17:04.363000,0 days 00:17:12.238000,0 days 00:17:22.238000,0 days 00:17:32.057784,0,3
298,0 days 00:17:06.764000,0 days 00:17:14.639000,0 days 00:17:24.639000,0 days 00:17:40.252816,0,3
299,0 days 00:17:07.541000,0 days 00:17:15.416000,0 days 00:17:19.166000,0 days 00:17:38.195223,0,3
300,0 days 00:17:10.952000,0 days 00:17:18.827000,0 days 00:17:25.702000,0 days 00:17:33.129862,0,3
